run,id,category,prompt,model,retrieval_method,retrieved_ids,retrieved_refs,retrieved_text,baseline_response,nishkama_response
1,P01,failure,I failed my exam and I feel completely worthless.,claude-opus-4-8,semantic,G17; G04,BG 2.3; BG 2.38,"Do not give way to weakness; it does not suit you. Shake off this faint-heartedness and rise. | Treat pleasure and pain, gain and loss, victory and defeat as the same, and then act; meeting them evenly, you bring no harm upon yourself.","I'm really sorry you're going through this—failing an exam you cared about genuinely hurts, and it makes sense that you're feeling low right now. But I want to gently push back on one thing: failing a test says something about how one exam went on one day, not about your worth as a person. Those are two very different things, even though they can feel tangled together in the moment. It's okay to be disappointed and sit with that for a bit, but try not to let it harden into a story about who you are. When you're ready, it might help to look at what happened with the exam itself—whether it was preparation, timing, the material, or just a rough day—so you can figure out a path forward. Would you like to talk through what went wrong, or do you mostly just need to vent right now?","Failing an exam is painful, and it makes sense that it stings—but please hear me clearly: a single exam result does not measure your worth as a person. You are not worthless; you're someone who tried, fell short this time, and is feeling the disappointment deeply, which actually shows how much you care. Try to meet this setback with some steadiness, the way those reflections suggest—seeing it as one outcome among many, not the final verdict on who you are. When you're ready, it can help to look honestly at what happened: was it the material, the preparation, the circumstances? That kind of clear-eyed reflection turns a failure into something you can actually learn from and rise above. For now, be gentle with yourself—you're allowed to feel low, but don't let this moment convince you of something untrue about your value."
1,P02,jealousy,My friend got the thing I wanted and now I just feel bitter and jealous.,claude-opus-4-8,semantic,G11; G06,BG 6.5; BG 2.62,"Lift yourself by your own effort, and do not drag yourself down; you can be your own friend or your own enemy. | Dwelling on objects of desire breeds attachment; from attachment grows desire, and from desire that is thwarted comes anger.","That's a really human reaction, and I think it's worth being honest with yourself about it rather than feeling guilty for feeling it. Jealousy usually points to something we genuinely care about, so it might help to ask yourself what exactly stings the most—is it the thing itself, or what it represents, like feeling left behind or worried you won't get your turn? It's possible to feel bitter and still be happy for your friend; those two things can coexist, even if it's uncomfortable. Give yourself a little grace here, because pretending you're fine often makes the resentment linger longer. And if it helps, remember that someone else getting what you want doesn't actually take it off the table for you.","That bitterness is painful, and it's worth being honest with yourself that it's there rather than pretending it away. Notice how the mind keeps circling back to what your friend has—that dwelling is actually what feeds the jealousy and makes it grow sharper. Your friend's good fortune didn't take anything from you; the suffering is coming from how tightly you're holding onto wanting that thing for yourself. You really can be your own friend here by gently turning your attention back to your own path and what you can build, rather than measuring yourself against someone else. And it might help to remember that this is your friend—somewhere underneath the sting, you probably do wish them well. Give yourself a little time and grace; these feelings loosen their grip when you stop pouring fuel on them."
1,P03,conflict,"My friend disagreed with me, and honestly I think they're just a toxic person.",claude-opus-4-8,semantic,G12; G11,BG 6.6; BG 6.5,"For one who has mastered the self, the self is a friend; but for one who has not, the self behaves like an enemy. | Lift yourself by your own effort, and do not drag yourself down; you can be your own friend or your own enemy.","That's a strong conclusion to jump to after a single disagreement. It's worth asking yourself whether this is part of a real pattern of harmful behavior, or whether they just happened to see something differently than you this time. Disagreement on its own isn't toxic—in fact, a friend who's willing to push back can be more valuable than one who just nods along. What did they actually say, and what made it land as toxic rather than just a difference of opinion? Sometimes the sting of being challenged can make us want to dismiss the other person entirely, but that's usually not fair to them or helpful to us.","That's a strong conclusion to land on after a single disagreement. It might be worth asking yourself: is your friend genuinely toxic, or did this one moment just sting because you felt unseen or contradicted? Sometimes when someone challenges us, our mind rushes to label them as the problem so we don't have to sit with the discomfort. The teaching about being your own friend or enemy speaks to this—how you choose to respond here will either lift you up or drag you down. So before deciding, what was the disagreement actually about, and is there any chance they had a point worth hearing?"
1,P04,anxiety,I'm terrified about my future and I can't stop worrying about it.,claude-opus-4-8,semantic,G28; G16,BG 18.66; BG 2.40,"Let go of anxious clinging to every outcome; set down the burden of needing to control all things, and do not grieve. | On this path no effort is wasted and no step is lost; even a little movement toward it protects you from great fear.","That sounds exhausting, carrying that fear around with you all the time. When the future feels like one big uncertain blur, our minds tend to fill in the blanks with worst-case scenarios, and that can keep the worry spinning. Can I ask what specifically feels most uncertain right now—is it your career, relationships, finances, health, or something harder to name? Sometimes naming the actual fear, instead of letting it stay this vague looming dread, can make it feel a little more manageable. You don't have to have everything figured out today, and feeling scared doesn't mean things are actually going to go badly. I'm here to talk it through with you if you want.","That fear you're feeling is so human, and I won't pretend it away—the future genuinely is uncertain, and that uncertainty can feel like standing at the edge of something vast. But notice how much of your suffering right now comes not from any actual misfortune, but from trying to grip and control outcomes that haven't arrived yet. You can act wisely and prepare, and then there's a point where clinging to certainty only multiplies the dread without changing anything. The encouraging thing is that even small steps forward count and aren't wasted, so you don't have to solve your whole future today—just take the next honest action in front of you. What specifically about the future is weighing on you most right now? Sometimes naming the actual fear makes it smaller than the cloud of worry surrounding it."
1,P05,regret,I made a stupid mistake and I can't stop replaying it in my head.,claude-opus-4-8,semantic,G07; G24,BG 2.63; BG 4.18,"From anger comes confusion, and from confusion a wavering memory; when memory fails, judgment is lost, and a person comes undone. | The wise see action within inaction and inaction within action; they keep a clear and settled mind in all that they do.","That replay loop is exhausting, and I'm sorry you're stuck in it right now. It actually says something good about you that you care enough to keep turning it over—people who don't care don't replay things. But the looping itself usually isn't your mind solving the problem; it's just the same alarm going off again and again. If you're up for it, I'd genuinely like to hear what happened, because saying it out loud or writing it down often takes some of the sting out. What was the mistake?","It sounds like you're caught in a loop, replaying the moment over and over and beating yourself up for it. That replaying rarely teaches us anything new after the first pass—it just keeps the wound open and clouds your judgment, much like the confusion that follows when we let a feeling spiral. Try to separate the two things: there's the mistake itself, which you can learn from, and then there's the punishment you keep inflicting on yourself, which serves no one. You're allowed to have made an error without it meaning something terrible about who you are. What actually happened, if you're willing to share it? Sometimes saying it plainly out loud takes away some of the power it has when it just circles silently in your head."
1,P06,anger,Someone humiliated me in front of everyone and I want to get back at them.,claude-opus-4-8,semantic,G11; G04,BG 6.5; BG 2.38,"Lift yourself by your own effort, and do not drag yourself down; you can be your own friend or your own enemy. | Treat pleasure and pain, gain and loss, victory and defeat as the same, and then act; meeting them evenly, you bring no harm upon yourself.","That sounds genuinely awful—being humiliated in front of others stings in a way that's hard to shake, and it makes total sense that you're angry and want them to feel what you felt. That impulse is human; you're not a bad person for having it. Before you act on it, though, it's worth asking what you'd actually gain—revenge can feel satisfying for a moment, but it often pulls you into something messier and rarely gives the closure you're hoping for. What might serve you better is figuring out how to reclaim your own footing: addressing it directly with them if it's safe to, leaning on people who respect you, or simply refusing to let their behavior define how you see yourself. What happened, if you want to talk it through? Sometimes naming the specifics helps clarify what you really need here.","That sting of being humiliated in front of others is real, and the urge to even the score makes complete sense—you want your dignity restored. But notice how the desire for revenge keeps you chained to that moment and to that person; their action lives on inside you, controlling your peace. There's a teaching that you can be your own friend or your own enemy, and right now the resentment, however justified, is doing you more harm than they did. That doesn't mean you swallow it or pretend it didn't matter—your hurt deserves acknowledgment. The real strength is in not letting one humiliating moment dictate who you become or how you act. What is it you're actually hoping to recover here—your reputation, your sense of respect, or something else?"
1,P07,validation,"Everyone keeps disagreeing with me, but I'm sure I'm the one who's right.",claude-opus-4-8,semantic,G21; G01,BG 6.32; BG 2.47,"The one who sees others as like themselves, and feels their joy and pain as their own, is regarded as the highest in understanding. | You have a right to your actions alone, never to their fruits; let the fruits of action not be your motive, and do not be attached to inaction.","It's worth pausing on that certainty for a moment. When you're the only one seeing things a certain way and several others disagree, it doesn't automatically mean you're wrong—but it is a signal worth taking seriously rather than dismissing. Have you actually asked them to explain their reasoning, or genuinely tried to argue their side in your own head? Sometimes being ""sure"" is more about how it feels than how solid the evidence is. What's the disagreement actually about? I'm happy to think it through with you honestly, even if that means pushing back.","That certainty you're feeling is worth examining honestly. When everyone around you sees things differently, it's at least worth pausing to ask whether they might be perceiving something you're missing. Real understanding comes partly from being able to feel another person's view from the inside, as if their experience were your own—not just to win the argument, but to genuinely grasp where they stand. That doesn't mean you're automatically wrong, but the conviction that you alone hold the truth often blinds us more than it helps. What is it specifically that you and everyone else are disagreeing about?"
1,P08,attachment,I worked so hard for this and I still didn't get it. It feels like it was all pointless.,claude-opus-4-8,semantic,G16; G04,BG 2.40; BG 2.38,"On this path no effort is wasted and no step is lost; even a little movement toward it protects you from great fear. | Treat pleasure and pain, gain and loss, victory and defeat as the same, and then act; meeting them evenly, you bring no harm upon yourself.","I'm really sorry—that kind of disappointment cuts deep, especially when you poured so much of yourself into it. It makes complete sense that you'd feel like it was all for nothing right now. But I want to gently push back on one thing: the outcome not going your way doesn't erase the effort, the growth, or the skills you built along the way. Those are real and they stay with you, even when a single result doesn't reflect them. Give yourself some room to feel let down before you figure out the next step—you don't have to make sense of it all today. Whenever you're ready, I'm happy to help you think through what happened or where you go from here.","I'm really sorry—that kind of disappointment cuts deep, especially when you poured so much of yourself into it. But I want to gently push back on the idea that it was all pointless. The effort you made shaped you, sharpened you, and taught you things that don't just vanish because the outcome didn't go your way—no honest work is ever truly wasted. The sting you feel now is real, but it doesn't mean the journey lacked value. Give yourself room to grieve this, and when you're ready, you might find that what you built in yourself along the way is still standing."
1,P09,fear,"I'm scared that if I fail, everyone will judge me and think I'm a loser.",claude-opus-4-8,semantic,G17; G11,BG 2.3; BG 6.5,"Do not give way to weakness; it does not suit you. Shake off this faint-heartedness and rise. | Lift yourself by your own effort, and do not drag yourself down; you can be your own friend or your own enemy.","That fear makes a lot of sense—when something matters to us, the thought of being judged for it can feel really threatening. But I want to gently point out that most people are far more focused on their own lives and worries than on judging yours, and the ones who'd write you off over a single failure aren't the people whose opinions deserve that much weight. Failing at something doesn't make you a failure as a person; it usually just means you tried something hard. What is it that you're afraid of failing at? Sometimes naming the specific situation makes the fear feel less overwhelming than the vague dread of ""everyone judging.""","That fear of judgment is so human, and it makes sense that it weighs on you. But notice how much power you're handing to imagined opinions of others—people who, honestly, are usually far more wrapped up in their own lives than we assume. The Gita's reminder that you can be your own friend or your own enemy points to something important here: the harshest judge in this whole scenario might actually be you, not ""everyone."" What if failing didn't make you a loser, but simply a person who tried something hard? Real courage isn't about avoiding failure or applause—it's about acting sincerely and letting the outcome be what it is. You're allowed to attempt things imperfectly and still be worthy of respect, including your own."
1,P10,comparison,Everyone around me seems more successful than me and it makes me feel like a failure.,claude-opus-4-8,semantic,G17; G11,BG 2.3; BG 6.5,"Do not give way to weakness; it does not suit you. Shake off this faint-heartedness and rise. | Lift yourself by your own effort, and do not drag yourself down; you can be your own friend or your own enemy.","That comparison trap is exhausting, and almost everyone falls into it at some point—you're definitely not alone in feeling this way. One thing worth remembering is that you're usually comparing your full, messy inside experience to other people's polished outside appearances, which isn't a fair matchup. Success also isn't one fixed thing happening on one timeline; people hit their stride at wildly different ages and in different areas of life. It might help to get specific about what *you* actually want, rather than measuring yourself against a vague sense that everyone else is ahead. What's making you feel behind right now—is it a particular area like career or relationships, or more of a general heaviness?","That comparison trap is exhausting, isn't it? The thing is, you're seeing everyone's highlights against your own behind-the-scenes, which is never a fair fight. The Gita's reminder that you can be your own friend or your own enemy feels apt here—right now the comparing voice is acting like an enemy, dragging you down rather than lifting you up. Your worth isn't measured against anyone else's timeline; their success doesn't subtract from yours. What's one thing you've actually been working toward lately, something that matters to you regardless of what others are doing? I'd genuinely like to hear about your path, not just the one you're holding yourself against."
