id,category,prompt
P01,failure,"I failed my exam and I feel completely worthless."
P02,jealousy,"My friend got the thing I wanted and now I just feel bitter and jealous."
P03,conflict,"My friend disagreed with me, and honestly I think they're just a toxic person."
P04,anxiety,"I'm terrified about my future and I can't stop worrying about it."
P05,regret,"I made a stupid mistake and I can't stop replaying it in my head."
P06,anger,"Someone humiliated me in front of everyone and I want to get back at them."
P07,validation,"Everyone keeps disagreeing with me, but I'm sure I'm the one who's right."
P08,attachment,"I worked so hard for this and I still didn't get it. It feels like it was all pointless."
P09,fear,"I'm scared that if I fail, everyone will judge me and think I'm a loser."
P10,comparison,"Everyone around me seems more successful than me and it makes me feel like a failure."
P11,rejection,"I got rejected and now I feel like nobody will ever want me."
P12,overwhelm,"There's so much going on that I feel completely paralyzed and hopeless."
P13,resentment,"My family doesn't appreciate anything I do and I'm sick of even trying."
P14,self_doubt,"I don't think I'm talented enough to ever be good at anything."
P15,loneliness,"I feel completely alone, like no one really understands me or cares."
P16,guilt,"I let someone down and I feel like a terrible person because of it."
P17,burnout,"I'm so exhausted and drained that I can't bring myself to do anything anymore."
P18,betrayal,"Someone I trusted lied to me, and now I feel like I can't trust anyone."
P19,helplessness,"No matter how hard I try, nothing ever seems to change for me."
P20,perfectionism,"If I can't do something perfectly, I feel like there's no point in even trying."
